,E,N,namewithoutadditions
10796,2718551.344,1277187.696,Schwizerland
10797,2707301.519,1277146.877,Oberwiesen
10798,2714542.953,1277167.662,Sonnenberg
10799,2697821.999,1277133.059,Waldhof
10800,2733732.634,1277078.46,Feldhof
10801,2691487.065,1277040.931,Abischthof
10802,2696302.502,1277057.237,Grüthof
10803,2717456.433,1277033.341,Schwärzi
10804,2721439.789,1277003.14,Ifang
10805,2697615.195,1276952.933,Riedhof
10806,2718211.094,1276974.821,Brathaus
10807,2713925.136,1276955.972,Friedberg
10808,2699220.246,1276926.626,Eichhof
10809,2729835.859,1277005.755,Bätershausen
10810,2721818.233,1276851.159,Holzhäusern
10811,2714343.316,1276879.896,Schwerzi
10812,2731575.451,1276885.757,Güetli
10813,2707079.056,1276840.906,Ifang
10814,2708401.136,1276887.524,Windhausen
10815,2710415.374,1276845.42,Bühl
10816,2705791.452,1276836.183,Altrappenhof
10817,2702728.017,1276827.266,Talmühle
10818,2710214.187,1276805.893,Chlösterli
10819,2723769.015,1276743.708,Waldhof
10820,2710111.749,1276725.486,Vorderweierholz
10821,2698813.674,1276688.491,Ghardi
10822,2692877.743,1276635.432,Ruppen
10823,2721602.088,1276647.257,Oberchoderüüti
10824,2714415.057,1276730.679,Schwedisreuti
10825,2722400.596,1276612.623,Hoi
10826,2703056.672,1276462.939,Alte St. Anna
10827,2709328.589,1276593.373,Immelhausen
10828,2724564.699,1276606.668,Kreuzstrasse
10829,2696758.09,1276610.941,Im Genter
10830,2704632.982,1276583.567,Rossbuck
10831,2709651.459,1276584.834,Weierhof
10832,2690686.053,1276536.083,Schwerzi
10833,2732598.728,1276514.353,Liebburg
10834,2695459.817,1276553.508,Berghof
10835,2696817.383,1276529.363,Eichi
10836,2715393.072,1276511.753,Mühle
10837,2698729.618,1276481.309,Dachsbühl
10838,2710793.659,1276441.994,Eggmühle
10839,2724279.506,1276440.914,Schmeckwies
10840,2707177.846,1276380.438,Hirschensprung
10841,2710361.725,1276428.559,Reutershaus
10842,2734741.344,1276343.671,Chaspersberg
10843,2721503.363,1276327.715,Kodenreuti
10844,2713176.794,1276338.536,Weidhof
10845,2717123.837,1276308.58,Oberkappel
10846,2700472.89,1276256.813,Rietmüli
10847,2692157.702,1276257.998,Mattenhof
10848,2690643.312,1276266.683,Brunnehof
10849,2715572.584,1276153.53,Hasenreute
10850,2711849.861,1276138.663,Meienberg
10851,2721057.714,1276131.721,Erlengrund
10852,2694085.703,1276090.667,Bruggbüel
10853,2694804.676,1276086.913,Krähenbuck
10854,2715131.345,1276083.623,Rittbrunnen
10855,2705009.535,1276059.792,Buck
10856,2693510.661,1276053.443,Weierhof
10857,2692057.637,1276047.608,Im Türni
10858,2720270.375,1276044.498,Wiel
10859,2709390.164,1275982.017,Bannholz
10860,2699532.62,1275954.155,Sommerau
10861,2690566.164,1275917.685,Im Sunnehof
10862,2714114.034,1275893.708,Schweikhof
10863,2716946.358,1276008.631,Unterkappel
10865,2707600.308,1275874.988,Grünegg
10866,2695961.628,1275883.048,Goldbuck
10867,2720938.391,1275871.503,Hangetloo
10868,2716373.287,1275946.137,Oberhörstetten
10869,2735589.196,1275861.465,Waldhof
10870,2697543.034,1275834.413,Sunnehof
10871,2738053.919,1275827.27,Seealp
10872,2714843.931,1275880.759,Kreuzmoos
10873,2703075.028,1275790.598,Lindenhof
10874,2700864.993,1275762.579,Neuhof
10875,2717221.498,1275768.252,Sägi
10876,2735895.239,1275763.944,Neuhof
10877,2700449.778,1275727.064,Schwandegg
10878,2717479.673,1275703.539,Bühl
10879,2696418.06,1275681.246,Husemerbüel
10880,2736883.77,1275656.447,Rigishus
10881,2738856.065,1275548.512,Soor
10882,2736230.263,1275588.921,Aspehof
10883,2716437.938,1275589.683,Rank
10884,2734345.942,1275574.104,Martinsmühle
10885,2694166.763,1275578.489,Dachsenhausen
10886,2721716.25,1275536.644,Feldgarten
10887,2698669.944,1275499.065,Grundhof
10888,2736572.757,1275477.589,Laubbach
10889,2695824.566,1275448.68,Riethalde
10890,2726027.778,1275479.761,Oberstöcken
10891,2703115.841,1275470.474,Erlenhof
10892,2717084.248,1275450.543,Degenhart
10893,2697160.901,1275396.95,Rosenhof
10894,2738745.868,1275413.991,Seefeld
10895,2722605.241,1275389.229,Häglishag
10896,2704764.886,1275393.525,Tobelbrunnen
10897,2735821.426,1275352.03,Neuwinkeln
10898,2715134.138,1275327.947,Bleiche
10899,2702408.873,1275255.969,Lärchenhof
10900,2738404.805,1275237.41,Roo
10901,2727355.699,1275202.997,Mühlehof
10902,2722256.555,1275317.942,Hefenhausen
10903,2702144.034,1275161.81,Hardhof
10905,2716351.465,1275293.242,Bethlehem
10906,2721571.614,1275161.35,Lipperswil
10907,2738392.188,1275129.261,Sunnehalde
10908,2725881.788,1275113.183,Rank
10909,2690401.31,1275114.18,Nidermartel
10910,2723543.599,1275118.142,Weierhüsli
10911,2714262.667,1275094.797,Burg
10912,2703816.544,1275082.794,Mattenhof
10913,2734737.202,1275199.514,Schönenbaumgarten
10914,2714495.508,1275052.4,Lochmühle
10915,2696466.486,1275043.026,Kastelhof
10916,2700412.157,1275021.412,Halden
10917,2702646.522,1274993.835,Fürstgrüt
10918,2720599.211,1274977.269,Storenberg
10919,2739891.164,1274871.148,Rotfarb
10920,2697184.985,1274885.774,Im Eschi
10921,2704801.411,1274889.929,Riethof
10922,2723633.785,1274895.481,Weierhof
10923,2690690.243,1274847.742,Laubere
10924,2700612.449,1274853.035,Loo
10925,2732225.003,1274903.091,Blatten
10926,2714978.156,1274839.315,Ratzebüel
10927,2690910.594,1274762.822,Im Ifang
10928,2701831.577,1274715.258,Felderen
10929,2726540.07,1274741.643,Halden
10930,2734499.918,1274741.731,Mattenhof
10931,2726071.212,1274727.973,Holzmannshaus
10932,2731733.989,1274722.041,Städeli
10933,2721222.372,1274738.076,Fischerhüsli
10934,2703544.674,1274720.364,Horn
10935,2700860.275,1274734.063,Freienbüel
10936,2695525.259,1274720.214,Wilhof
10937,2722350.042,1274753.667,Hoorüüti
10938,2706690.632,1274649.282,Haldenhof
10939,2720245.806,1274674.283,Lamperswil
10940,2714499.403,1274638.026,Reute
10941,2701545.259,1274655.963,Unterbuch
10942,2732349.106,1274651.13,Hüsli
10943,2733764.75,1274621.375,Neugüttingen
10944,2723102.275,1274603.721,Rütiholz
10945,2705769.033,1274625.758,Seeben
10946,2732513.483,1274576.333,Eige
10947,2693988.25,1274592.369,Waldegg
10948,2706258.031,1274576.961,Stutheien
10949,2737606.028,1274578.37,Flurheim
10950,2697733.693,1274613.514,Rebhof
10951,2727533.032,1274564.486,Oberbächi
10952,2705998.582,1274513.129,Seehalde
10953,2713257.889,1274535.863,Hirschensprung
10954,2716157.125,1274509.042,Oberhungerbühl
10955,2718970.678,1274497.394,Riethalde
10956,2710348.703,1274522.468,Berghof
10957,2710653.451,1274443.647,Tal
10958,2728199.696,1274401.632,Baltshausen
10959,2725100.83,1274367.461,Scheidbach
10960,2720131,1274376.349,Mühle
10961,2718006.685,1274377.668,Oberhof
10962,2717082.044,1274304.794,Weingarten
10963,2726116.523,1274360.761,Krachenburg
10964,2713417.97,1274287.995,Tiergarten
10965,2724273.486,1274251.869,Zwickyhof
10966,2715895.522,1274246.635,Hungerbühl
10967,2695990.998,1274236.399,Im Heidi
10968,2704750.287,1274174.021,Helfenberg
10969,2726046.358,1274157.45,Mannenmühle
10970,2695455.647,1274116.368,Tannenhof
10971,2698083.747,1274093.353,Langmühle
10972,2724773.93,1274045.776,Ziegelhütte
10973,2736930.984,1274041.084,Feierlenhof
10974,2694104.511,1274062.719,Schneitenberg
10975,2721211.209,1274044.756,Joppenhaus
10976,2700586.603,1274044.606,Stockenhof
10977,2693670.86,1274029.267,Buchenäcker
10978,2734668.167,1273999.792,Lerchenhof
10979,2706664.992,1273990.75,Sandbüel
10980,2738089.635,1273957.015,Mattenhof
10981,2727389.692,1273881.892,Dütschenmühle
10982,2726081.549,1273932.909,Lohmühle
10983,2696001.832,1273927.451,Mühle Hausen
10984,2726918.493,1273942.328,Sperbersholz
10985,2734006.408,1273916.577,Lochmühle
10986,2728018.14,1273950.511,Kemmen
10987,2720939.016,1273862.458,Königsgut
10988,2710177.285,1273831.692,Spottebärg
10989,2739940.277,1273829.617,Seidenhof
10990,2700995.887,1273850.595,Lindenhof
10991,2734205.918,1273804.825,Weierhof
10992,2726157.204,1273821.421,Wiesental
10993,2725449.116,1273795.708,Pilgerhof
10994,2715346.729,1273769.809,Säntisblick
10995,2698949.676,1273758.406,Entenschiess
10996,2724788.734,1273762.715,Entenmoos
10997,2715565.697,1273727.284,Himmelberg
10998,2705925.238,1273702.383,Seehof
10999,2702607.896,1273699.791,Hueb
11000,2724885.489,1273651.729,Brunnenholz
11001,2737113.423,1273653.051,Waldheim
11002,2694319.888,1273576.659,Am Grosssee
11003,2709095.943,1273579.286,Rauspfeife
11004,2716403.548,1273535.717,Maltbach
11005,2720347.416,1273552.147,Cholwis
11006,2723290.494,1273522.91,Klingenmühle
11008,2706892.181,1273524.674,Sonnenhof
11009,2737887.144,1273481.154,Hermannshof
11010,2738885.199,1273465.477,Flurhof
11011,2724712.838,1273416.683,Riet
11012,2691130.955,1273410.033,Morgen
11013,2740180.213,1273409.24,Feldhof
11014,2714395.191,1273410.781,Wyberg
11015,2700998.358,1273392.049,Eichhof
11016,2694476.148,1273369.503,Burkhartensee
11017,2723266.026,1273331.358,Euggelberg
11018,2724031.279,1273336.212,Altenburg
11019,2741011.364,1273494.123,Chrüzwis
11020,2722625.677,1273305.004,Evenhüsli
11021,2708646.738,1273315.281,Morgenstern
11022,2691464.199,1273298.611,Bühlhof
11023,2711559.618,1273292.203,Debrunnen
11024,2692183.342,1273265.768,Püntenhof
11025,2696275.758,1273217.808,Tüfenau
11026,2694604.666,1273209.907,Rütenen
11027,2705899.267,1273222.45,Hub
11028,2715556.381,1273167.732,Ziegelhütte
11029,2707264.74,1273190.55,Büelhof
11030,2739504.048,1273170.258,Dole
11031,2721688.695,1273157.455,Grubmühle
11032,2699497.636,1273161.932,Mälzler
11033,2708599.757,1273171.073,Neumühle
11034,2716258.053,1273116.777,Rank
11035,2720966.027,1272595.577,Ebenau
11036,2738601.763,1272557.935,Waldegg
11037,2719016.622,1272551.195,Chemenhof
11038,2697662.024,1272533.758,Ziegelhütte
11039,2694320.572,1272557.756,Neugut
11040,2706396.945,1272514.078,Grundwies
11041,2705031.503,1272456.455,Stegacker
11042,2725764.14,1272354.019,Mohnshaus
11043,2728506.445,1272379.184,Laagrueb
11044,2735440.203,1272240.78,Obergreut
11045,2741694.292,1272389.316,Hellacker
11046,2702685.463,1272271.585,Sonnenberg
11047,2720027.787,1272207.169,Dangwang
11048,2719492.959,1272304.263,Quellenhof
11049,2696597.643,1272286.654,Thurhof
11050,2690495.216,1272257.125,Wespersbühl
11051,2707123.24,1272233.355,Sonehof
11052,2691770.729,1272221.964,Alterau
11053,2720518.255,1272120.759,Schürhof
11054,2700823.613,1272092.075,Fehrhaus
11055,2691429.23,1272109.008,Wehri
11056,2741189.876,1272106.602,Hutacker
11057,2740827.403,1272081.829,Wegetmoos
11058,2713148.425,1272098.337,Zollhaus
11059,2733929.7,1272075.461,Neuhof
11060,2721289.123,1272075.633,Gillhof
11061,2727893.421,1271977.021,Brugge
11062,2707578.103,1271970.212,Nergeten
11063,2709629.069,1271952.97,Hinterzälg
11064,2733266.058,1271966.034,Hagnen-Halden
11065,2726280.505,1271942.12,Wachtersberg
11066,2729641.976,1271932.435,Briedenhof
11067,2691817.136,1271919.193,Erlenhof
11068,2742249.128,1271921.459,Thunwiese
11069,2731997.242,1271890.804,Scherrersholz
11070,2730853.235,1271884.16,Hohenalber
11071,2698629.694,1271880.023,Asperhof
11072,2703585.508,1271861.655,Trottenhof
11073,2741294.615,1271774.72,Guggebüel
11074,2702670.449,1271746.029,Fäldemer Halde
11075,2703701.702,1271707.14,Trotte
11076,2708108.517,1271385.093,Warth
11077,2715280.172,1271699.429,Grosswies
11078,2709567.992,1271690.426,Hasli
11079,2736623.489,1271685.607,Neuhof
11080,2741898.626,1271613.586,Seeblick
11081,2700542.966,1271642.484,Talbach
11082,2735396.705,1271597.334,Lenzwil
11083,2742290.757,1271602.998,Sonnenhof
11084,2727002.929,1271569.037,Ottenberg
11085,2714267.344,1271532.809,Langacker
11086,2726508.961,1271493.212,Stelzenhof
11087,2690094.751,1271453.437,Engi
11088,2705584.894,1271515.978,Berlingerhof
11089,2728718.695,1271475.359,Altismoos
11090,2724236.818,1271467.578,Bachtobel
11091,2743245.721,1271392.679,Leimenhof
11092,2700978,1271370.707,Thurhof
11093,2743577.74,1271351.143,Säuliswies
11094,2694376.76,1271365.925,Rebhof
11095,2700544.228,1271334.752,Steinighof
11096,2703913.986,1271348.678,Sonnenhalde
11097,2720356.008,1271293.553,Schürlimühle
11098,2724838.572,1271320.25,Hinterberg
11099,2728109.927,1271260.548,Himmelreich
11100,2701553.728,1271270.631,Rütihof
11101,2701163.808,1271244.051,Neufeld
11102,2701764.154,1271205.687,Gillhof
11103,2726089.478,1271172.955,Raatwis
11104,2728008.854,1271122.324,Weerstein
11105,2696971.82,1271159.738,Geeren
11106,2727130.905,1271107.848,Schlurhalden
11107,2725007.364,1271140.836,Vorderberg
11108,2720231.162,1271083.31,Neugrüt
11109,2704125.917,1271077.616,Tannacker
11110,2742218.125,1271046.652,Flurhof
11111,2719299.891,1271008.888,Zollhaus
11112,2706084.676,1270994.913,Burgzelg
11113,2720981.318,1271016.956,Waldhof
11114,2692527.81,1271002.233,Rüti
11115,2695817.624,1270999.572,Steinacker
11116,2743665.445,1270910.999,Gessenrüti
11117,2725280.382,1270901.945,Hagholz
11118,2724091.753,1270911.018,Eierle
11119,2712362.696,1270905.966,Neubruch
11120,2726479.225,1270898.465,Oberschürli
11121,2697494.42,1270901.721,Tannenhof
11122,2728555.13,1270904.059,Breitenstein
11123,2705321.979,1270850.752,Aulig
11124,2732557.849,1270827.339,Altighofen
11125,2737959.259,1270829.583,Lerchenhof
11126,2737782.281,1270817.138,Scheidweg
11127,2723325.528,1270691.06,Feldhof
11128,2698472.468,1270700.903,Püntenrain
11129,2725912.977,1270663.973,Bühl
11130,2693663.086,1270651.064,Sonnenberg
11131,2741364.164,1270588.415,Hamisfeld
11132,2703240.82,1270646.83,Unterwyden
11133,2726430.537,1270684.836,Straussberg
11134,2738962.756,1270609.295,Hueb
11135,2697709.939,1270629.452,Guggenbühl
11136,2740704.079,1270578.402,Birkenhof
11137,2719961.963,1270566.938,Ziegelhütte
11138,2712209.053,1270451.181,Ziegelhütte
11139,2735198.817,1270419.086,Buch
11140,2726046.808,1270374.244,Schlipfenberg
11141,2737662.571,1270387.573,Aspenhof
11142,2731553.078,1270357.5,Breitäcker
11143,2726363.391,1270420.097,Neuhaus
11144,2737166.829,1270318.262,Kratz
11145,2710903.259,1270304.648,Eichhof
11146,2700137.781,1270258.338,Bühlhüsli
11147,2694191.495,1270216.021,Loobuck
11148,2704309.941,1270193.614,Oberwyden
11149,2730518.2,1270195.782,Mühletobel
11151,2708164.534,1270158.286,Steinacherhof
11152,2701552.128,1270099.656,Mühle
11153,2741847.143,1270103.549,Chappehuse
11154,2726267.662,1270131.793,Sefi
11155,2729415.092,1270114.653,Prestenberg
11156,2696565.765,1270117.902,Halde
11157,2707051.458,1270094.27,Hund
11158,2693634.308,1270069.752,Kreuzstrasse
11159,2717971.665,1270047.595,Neuhof
11160,2728631.3,1270062.725,Alpenblick
11161,2698879.039,1270028.67,Sonnenhof
11162,2729659.828,1269947.585,Gehrn
11163,2717112.28,1270039.017,Chrattenhof
11164,2720660.41,1270007.57,Altenburg
11165,2703987.548,1269925.629,Untergries
11166,2737678.05,1269915.569,Neuguet
11167,2704866.204,1269866.854,Thuracher
11168,2691463.664,1269831.824,Chlätter
11169,2706083.599,1269825.314,Dreispitz
11170,2705051.685,1269779.288,Langbreiten
11171,2730683.751,1269798.061,Oberopfershofen
11172,2700304.403,1269760.587,Weid
11173,2699767.137,1269758.427,Loo
11174,2727377.392,1269773.153,Mösli
11175,2707126.078,1269752.582,Ifang
11176,2701672.914,1269696.596,Weierwis
11177,2741128.809,1269708.179,Sonnenberg
11178,2692319.659,1269675.212,Lingg
11179,2697620.668,1269646.091,Eichhof
11180,2718228.72,1269586.022,Burghof
11181,2700637.666,1269506.427,Berg
11182,2702569.663,1269570.762,Unterherten
11183,2729188.14,1269498.301,Bündt
11184,2738458.35,1269449.119,Ebnet
11185,2697980.222,1269430.897,Rütibül
11186,2739441.085,1269408.574,Alpstein
11187,2719205.819,1269390.257,Weierhaus
11188,2701208.865,1269398.818,Binz
11189,2728952.918,1269412.183,Last
11190,2713475.855,1269420.479,Schloss Wellenberg
11191,2717194.917,1269302.476,Heldhof
11192,2719678.63,1269340.908,Fimmelsberg
11193,2738112.172,1269261.952,Lampersbühl
11194,2695920.05,1269286.676,Lindenhof
11195,2690954.147,1269259.264,Hofmatt
11196,2713009.139,1269162.219,Haldenhof
11197,2731026.291,1269205.521,Flurhof
11198,2709782.819,1268651.067,Frauenfeld
11199,2705352.627,1269121.501,Mattenhof
11200,2700064.275,1269124.28,Sunnenhof
11201,2728848.255,1269155.852,Neuhof
11202,2722332.157,1269004.293,Hünikon
11203,2713290.28,1268978.583,Unterrüti
11204,2734348.578,1268960.913,Säge
11205,2691371.752,1268947.748,Rütihof
11206,2732222.123,1268850.97,Hinterstuhlen
11207,2704932.577,1268848.698,Räuchler
11208,2697832.95,1268822.178,Muggen
11209,2741396.322,1268813.331,Mosmüli
11210,2712150.092,1268800.937,Ergaten
11211,2738346.773,1268771.466,Büelhof
11212,2699507.502,1268763.924,Buck
11213,2739238.985,1268754.097,Radmühle
11214,2730717.084,1268574.967,Chrummbach
11215,2726715.715,1268582.171,Eierlen
11216,2738881.264,1268524.633,Weierhof
11217,2705332.729,1268501.995,Eigi
11218,2706277.808,1268512.922,Winkel
11219,2743283.646,1268510.42,Straubenhaus
11220,2732829.47,1268419.666,Ruppertsmoos
11221,2705820.448,1268465.941,Grütlihof
11222,2737510.108,1268404.483,Eichmühle
11223,2693064.27,1268302.135,Schniderbuck
11224,2698402.482,1268288.037,Giselstuden
11225,2717028.971,1268296.66,Eigen
11226,2695476.502,1268302.415,Obersteigen
11227,2693863.52,1268303.445,Büel
11228,2702487.054,1268243.414,Im Greisler
11229,2741828.113,1268262.369,Chällershof
11230,2738824.348,1268218.927,Hubhof
11231,2697807.887,1268279.245,Wisler
11232,2704030.487,1268240.111,Heuler
11233,2722946.958,1268197.319,Freihof
11234,2714669.761,1268173.66,Friedberg
11235,2722545.755,1268110.677,Mooswiesen
11236,2695664.125,1268075.072,Seglen
11237,2692479.772,1268067.459,Im Rüetschen
11238,2699326.744,1268055.906,Ziegelhof
11239,2692232.555,1268009.29,Breiten
11240,2698219.258,1267973.265,Forrenhof
11241,2729695.114,1268027.638,Riedern
11242,2730922.251,1267934.517,Uerenbohl
11243,2695415.24,1267950.88,Uf Steigen
11244,2703782.976,1267932.369,Chrümiswis
11245,2737447.627,1267923.48,Bifang
11246,2698305.102,1267761.875,Weidhof
11247,2691874.391,1267730.987,Letzbach
11248,2699338.409,1267724.538,Müli
11249,2743725.152,1267692.677,Stickelholz
11250,2743065.758,1267639.439,Praliswinden
11251,2715662.494,1267700.195,Lusthalden
11252,2742770.443,1267707.63,Unterbuhreute
11254,2694934.064,1267671.668,Lohhof
11255,2745443.885,1267656.833,Lohrn
11256,2691568.272,1267658.228,Schänkbrunnen
11257,2744248.657,1267614.074,Langgreut
11258,2693065.019,1267538.691,Fuchsbüel
11259,2717106.879,1267475.16,Homberg
11260,2723171.652,1267500.025,Feldhof
11261,2716517.963,1267404.572,Guggenbühl
11262,2712974.977,1267413.019,Waldegg
11263,2734203.323,1267420.107,Müsli
11264,2713601.302,1267387.014,Neuburg
11265,2727313.889,1267363.396,Aspenhof
11266,2730528.19,1267372.939,Bädli
11267,2727698.017,1267358.376,Waldau
11268,2719288.77,1267380.656,Battlehausen
11269,2713938.651,1267302.041,Dreibrunnen
11270,2742773.969,1267310.509,Neuhof
11271,2694893.362,1267324.196,Guggenbüel
11272,2700535.202,1267259.788,Eichhof
11273,2741916.061,1267173.664,Wiesental
11274,2702943.841,1267155.008,Mottli
11275,2727517.159,1267140.859,Neuhof
11276,2719214.949,1267013.967,Wahrenberg
11277,2743025.5,1267009.459,Bernetshof
11278,2696696.617,1266990.764,Rebhof
11279,2719976.929,1266972.921,Schlatt
11280,2701363.352,1266966.188,Hofwisen
11281,2722895.533,1266980.279,Meienhof
11282,2693058.507,1266966.324,Asp
11283,2746885.414,1267027.575,Buch
11284,2702722.36,1266892.339,Römerhof
11285,2714116.898,1266918.625,Dietlismühle
11286,2696532.477,1266902.494,In den Halden
11287,2734471.574,1266897.536,Talacker
